[2026-01-07 09:16:54] INFO: 开始执行脚本，URL参数: @iflow-mcp/ronantakizawa_gis-dataconversion-mcp, GitHub URL参数: https://github.com/ronantakizawa/gis-dataconversion-mcp
[2026-01-07 09:16:54] INFO: 脚本开始，先等待5分钟 (300秒)...
[2026-01-07 09:17:04] INFO: 初始等待已完成 10 秒...
[2026-01-07 09:17:14] INFO: 初始等待已完成 20 秒...
[2026-01-07 09:17:24] INFO: 初始等待已完成 30 秒...
[2026-01-07 09:17:34] INFO: 初始等待已完成 40 秒...
[2026-01-07 09:17:44] INFO: 初始等待已完成 50 秒...
[2026-01-07 09:17:54] INFO: 初始等待已完成 60 秒...
[2026-01-07 09:18:04] INFO: 初始等待已完成 70 秒...
[2026-01-07 09:18:14] INFO: 初始等待已完成 80 秒...
[2026-01-07 09:18:24] INFO: 初始等待已完成 90 秒...
[2026-01-07 09:18:34] INFO: 初始等待已完成 100 秒...
[2026-01-07 09:18:44] INFO: 初始等待已完成 110 秒...
[2026-01-07 09:18:54] INFO: 初始等待已完成 120 秒...
[2026-01-07 09:19:04] INFO: 初始等待已完成 130 秒...
[2026-01-07 09:19:14] INFO: 初始等待已完成 140 秒...
[2026-01-07 09:19:24] INFO: 初始等待已完成 150 秒...
